id,error_type,grammatical_error_sentence,correct_sentence
1,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
2,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
3,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
4,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
5,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
6,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
7,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
8,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
9,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
10,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
11,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
12,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
13,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
14,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
15,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
16,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
17,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
18,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
19,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
20,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
21,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
22,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
23,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
24,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
25,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
26,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
27,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
28,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
29,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
30,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
31,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
32,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
33,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
34,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
35,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
36,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
37,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
38,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
39,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
40,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
41,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
42,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
43,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
44,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
45,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
46,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
47,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
48,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
49,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
50,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
51,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
52,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
53,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
54,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
55,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
56,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
57,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
58,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
59,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
60,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
61,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
62,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
63,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
64,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
65,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
66,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
67,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
68,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
69,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
70,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
71,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
72,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
73,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
74,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
75,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
76,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
77,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
78,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
79,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
80,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
81,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
82,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
83,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
84,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
85,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
86,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
87,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
88,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
89,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
90,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
91,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
92,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
93,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
94,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
95,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
96,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
97,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
98,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
99,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
100,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
101,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
102,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
103,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
104,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
105,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
106,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
107,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
108,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
109,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
110,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
111,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
112,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
113,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
114,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
115,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
116,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
117,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
118,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
119,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
120,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
121,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
122,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
123,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
124,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
125,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
126,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
127,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
128,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
129,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
130,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
131,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
132,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
133,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
134,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
135,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
136,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
137,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
138,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
139,Error2,நேற்று நான் செல்வேன்.,நேற்று நான் சென்றேன்.
140,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
141,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
142,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
143,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
144,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
145,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
146,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
147,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
148,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
149,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
150,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
151,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
152,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
153,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
154,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
155,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
156,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
157,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
158,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
159,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
160,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
161,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
162,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
163,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
164,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
165,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
166,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
167,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
168,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
169,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
170,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
171,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
172,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
173,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
174,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
175,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
176,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
177,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
178,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
179,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
180,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
181,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
182,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
183,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
184,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
185,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
186,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
187,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
188,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
189,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
190,Error2,அவர்கள் ஆடுகிறார்கள்.,அவர்கள் ஆடினர்.
191,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
192,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
193,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
194,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
195,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
196,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
197,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
198,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
199,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
200,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
201,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
202,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
203,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
204,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
205,Error2,அந்த நாள் மழை பெய்கிறது.,அந்த நாள் மழை பெய்தது.
206,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
207,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
208,Error1,நாய் ஓடுகிறது.,நாய் ஓடுகின்றது.
209,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
210,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
211,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
212,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
213,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
214,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
215,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
216,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
217,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
218,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
219,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
220,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
221,Error2,நான் விளையாடுகிறேன்.,நான் விளையாடினேன்.
222,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
223,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
224,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
225,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
226,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
227,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
228,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
229,Error1,அவர்கள் சிரிக்கிறான்.,அவர்கள் சிரிக்கிறார்கள்.
230,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
231,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
232,Error2,மாடு மேய்கிறது.,மாடு மேய்ந்தது.
233,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
234,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
235,Error1,சிறுமி கதைசொல்கிறான்.,சிறுமி கதைசொல்கிறாள்.
236,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
237,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
238,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
239,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
240,Error2,அவர்கள் பாடுகிறார்கள்.,அவர்கள் பாடினர்.
241,Error1,அவள் வண்டியை ஓட்டுகிறான்.,அவள் வண்டியை ஓட்டுகிறாள்.
242,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
243,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
244,Error1,கிளிகள் பறக்கிறான்.,கிளிகள் பறக்கின்றன.
245,Error2,நான் படிக்கிறேன்.,நான் படித்தேன்.
246,Error2,குடும்பம் உணவருந்தும்.,குடும்பம் உணவருந்தியது.
247,Error1,மரம் வளர்கிறது.,மரம் வளர்கின்றது.
248,Error2,அவள் சிரிக்கிறாள்.,அவள் சிரித்தாள்.
249,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
250,Error1,அவர் தண்ணீர் குடிக்கிறான்.,அவர் தண்ணீர் குடிக்கிறார்.
251,Error1,கோபுரம் உலருகிறான்.,கோபுரம் உலர்கின்றது.
252,Error2,அவர் எழுதுகிறார்.,அவர் எழுதினார்.
253,Error1,அவன் பாடுகிறான்.,அவள் பாடுகிறாள்.
254,Error1,பசுக்கள் மேய்கிறது.,பசுக்கள் மேய்கின்றன.
